,Year,Month,Day,Hour,Minute,DHI,DNI
2010-01-01 00:00:00,2010,1,1,0,30,0,0
2010-01-01 01:00:00,2010,1,1,1,30,0,0
2010-01-01 02:00:00,2010,1,1,2,30,0,0
2010-01-01 03:00:00,2010,1,1,3,30,0,0
2010-01-01 04:00:00,2010,1,1,4,30,0,0
2010-01-01 05:00:00,2010,1,1,5,30,0,0
2010-01-01 06:00:00,2010,1,1,6,30,0,0
2010-01-01 07:00:00,2010,1,1,7,30,0,0
2010-01-01 08:00:00,2010,1,1,8,30,28,373
2010-01-01 09:00:00,2010,1,1,9,30,57,654
2010-01-01 10:00:00,2010,1,1,10,30,70,784
2010-01-01 11:00:00,2010,1,1,11,30,76,840
2010-01-01 12:00:00,2010,1,1,12,30,78,855
2010-01-01 13:00:00,2010,1,1,13,30,73,835
2010-01-01 14:00:00,2010,1,1,14,30,63,774
2010-01-01 15:00:00,2010,1,1,15,30,40,664
2010-01-01 16:00:00,2010,1,1,16,30,0,0
2010-01-01 17:00:00,2010,1,1,17,30,0,0
2010-01-01 18:00:00,2010,1,1,18,30,0,0
2010-01-01 19:00:00,2010,1,1,19,30,0,0
2010-01-01 20:00:00,2010,1,1,20,30,0,0
2010-01-01 21:00:00,2010,1,1,21,30,0,0
2010-01-01 22:00:00,2010,1,1,22,30,0,0
2010-01-01 23:00:00,2010,1,1,23,30,0,0
2010-01-02 00:00:00,2010,1,2,0,30,0,0
2010-01-02 01:00:00,2010,1,2,1,30,0,0
2010-01-02 02:00:00,2010,1,2,2,30,0,0
2010-01-02 03:00:00,2010,1,2,3,30,0,0
2010-01-02 04:00:00,2010,1,2,4,30,0,0
2010-01-02 05:00:00,2010,1,2,5,30,0,0
2010-01-02 06:00:00,2010,1,2,6,30,0,0
2010-01-02 07:00:00,2010,1,2,7,30,0,0
2010-01-02 08:00:00,2010,1,2,8,30,29,389
2010-01-02 09:00:00,2010,1,2,9,30,58,673
2010-01-02 10:00:00,2010,1,2,10,30,71,802
2010-01-02 11:00:00,2010,1,2,11,30,77,857
2010-01-02 12:00:00,2010,1,2,12,30,78,870
2010-01-02 13:00:00,2010,1,2,13,30,74,848
2010-01-02 14:00:00,2010,1,2,14,30,63,784
2010-01-02 15:00:00,2010,1,2,15,30,41,669
2010-01-02 16:00:00,2010,1,2,16,30,0,0
2010-01-02 17:00:00,2010,1,2,17,30,0,0
2010-01-02 18:00:00,2010,1,2,18,30,0,0
2010-01-02 19:00:00,2010,1,2,19,30,0,0
2010-01-02 20:00:00,2010,1,2,20,30,0,0
2010-01-02 21:00:00,2010,1,2,21,30,0,0
2010-01-02 22:00:00,2010,1,2,22,30,0,0
2010-01-02 23:00:00,2010,1,2,23,30,0,0
2010-01-03 00:00:00,2010,1,3,0,30,0,0
2010-01-03 01:00:00,2010,1,3,1,30,0,0
2010-01-03 02:00:00,2010,1,3,2,30,0,0
2010-01-03 03:00:00,2010,1,3,3,30,0,0
2010-01-03 04:00:00,2010,1,3,4,30,0,0
2010-01-03 05:00:00,2010,1,3,5,30,0,0
2010-01-03 06:00:00,2010,1,3,6,30,0,0
2010-01-03 07:00:00,2010,1,3,7,30,0,0
2010-01-03 08:00:00,2010,1,3,8,30,29,386
2010-01-03 09:00:00,2010,1,3,9,30,58,671
2010-01-03 10:00:00,2010,1,3,10,30,71,800
2010-01-03 11:00:00,2010,1,3,11,30,77,855
2010-01-03 12:00:00,2010,1,3,12,30,78,868
2010-01-03 13:00:00,2010,1,3,13,30,74,845
2010-01-03 14:00:00,2010,1,3,14,30,64,781
2010-01-03 15:00:00,2010,1,3,15,30,42,665
2010-01-03 16:00:00,2010,1,3,16,30,0,0
2010-01-03 17:00:00,2010,1,3,17,30,0,0
2010-01-03 18:00:00,2010,1,3,18,30,0,0
2010-01-03 19:00:00,2010,1,3,19,30,0,0
2010-01-03 20:00:00,2010,1,3,20,30,0,0
2010-01-03 21:00:00,2010,1,3,21,30,0,0
2010-01-03 22:00:00,2010,1,3,22,30,0,0
2010-01-03 23:00:00,2010,1,3,23,30,0,0
2010-01-04 00:00:00,2010,1,4,0,30,0,0
2010-01-04 01:00:00,2010,1,4,1,30,0,0
2010-01-04 02:00:00,2010,1,4,2,30,0,0
2010-01-04 03:00:00,2010,1,4,3,30,0,0
2010-01-04 04:00:00,2010,1,4,4,30,0,0
2010-01-04 05:00:00,2010,1,4,5,30,0,0
2010-01-04 06:00:00,2010,1,4,6,30,0,0
2010-01-04 07:00:00,2010,1,4,7,30,0,0
2010-01-04 08:00:00,2010,1,4,8,30,29,382
2010-01-04 09:00:00,2010,1,4,9,30,58,664
2010-01-04 10:00:00,2010,1,4,10,30,71,793
2010-01-04 11:00:00,2010,1,4,11,30,77,848
2010-01-04 12:00:00,2010,1,4,12,30,78,862
2010-01-04 13:00:00,2010,1,4,13,30,74,842
2010-01-04 14:00:00,2010,1,4,14,30,64,782
2010-01-04 15:00:00,2010,1,4,15,30,42,669
2010-01-04 16:00:00,2010,1,4,16,30,0,0
2010-01-04 17:00:00,2010,1,4,17,30,0,0
2010-01-04 18:00:00,2010,1,4,18,30,0,0
2010-01-04 19:00:00,2010,1,4,19,30,0,0
2010-01-04 20:00:00,2010,1,4,20,30,0,0
2010-01-04 21:00:00,2010,1,4,21,30,0,0
2010-01-04 22:00:00,2010,1,4,22,30,0,0
2010-01-04 23:00:00,2010,1,4,23,30,0,0
2010-01-05 00:00:00,2010,1,5,0,30,0,0
2010-01-05 01:00:00,2010,1,5,1,30,0,0
2010-01-05 02:00:00,2010,1,5,2,30,0,0
2010-01-05 03:00:00,2010,1,5,3,30,0,0
2010-01-05 04:00:00,2010,1,5,4,30,0,0
2010-01-05 05:00:00,2010,1,5,5,30,0,0
2010-01-05 06:00:00,2010,1,5,6,30,0,0
2010-01-05 07:00:00,2010,1,5,7,30,0,0
2010-01-05 08:00:00,2010,1,5,8,30,29,384
2010-01-05 09:00:00,2010,1,5,9,30,58,665
2010-01-05 10:00:00,2010,1,5,10,30,71,793
2010-01-05 11:00:00,2010,1,5,11,30,77,847
2010-01-05 12:00:00,2010,1,5,12,30,78,860
2010-01-05 13:00:00,2010,1,5,13,30,74,837
2010-01-05 14:00:00,2010,1,5,14,30,64,774
2010-01-05 15:00:00,2010,1,5,15,30,43,657
2010-01-05 16:00:00,2010,1,5,16,30,0,0
2010-01-05 17:00:00,2010,1,5,17,30,0,0
2010-01-05 18:00:00,2010,1,5,18,30,0,0
2010-01-05 19:00:00,2010,1,5,19,30,0,0
2010-01-05 20:00:00,2010,1,5,20,30,0,0
2010-01-05 21:00:00,2010,1,5,21,30,0,0
2010-01-05 22:00:00,2010,1,5,22,30,0,0
2010-01-05 23:00:00,2010,1,5,23,30,0,0
2010-01-06 00:00:00,2010,1,6,0,30,0,0
2010-01-06 01:00:00,2010,1,6,1,30,0,0
2010-01-06 02:00:00,2010,1,6,2,30,0,0
2010-01-06 03:00:00,2010,1,6,3,30,0,0
2010-01-06 04:00:00,2010,1,6,4,30,0,0
2010-01-06 05:00:00,2010,1,6,5,30,0,0
2010-01-06 06:00:00,2010,1,6,6,30,0,0
2010-01-06 07:00:00,2010,1,6,7,30,0,0
2010-01-06 08:00:00,2010,1,6,8,30,10,0
2010-01-06 09:00:00,2010,1,6,9,30,56,0
2010-01-06 10:00:00,2010,1,6,10,30,44,0
2010-01-06 11:00:00,2010,1,6,11,30,138,16
2010-01-06 12:00:00,2010,1,6,12,30,65,0
2010-01-06 13:00:00,2010,1,6,13,30,125,0
2010-01-06 14:00:00,2010,1,6,14,30,70,0
